CharacterName,Expression,SpritePath,AvatarPath
Airflow,Normal,Characters/Airflow/Normal,Avatars/AvatarA
Airflow,Happy,Characters/Airflow/Happy,Avatars/AvatarA
Airflow,Angry,Characters/Airflow/Angry,Avatars/AvatarA
Airflow,Thoughtful,Characters/Airflow/Thoughtful,Avatars/AvatarA
AI,Normal,Characters/AI/Normal,Avatars/AvatarAI
AI,Calm,Characters/AI/Calm,Avatars/AvatarAI
AI,Warning,Characters/AI/Warning,Avatars/AvatarAI
角色B,Normal,Characters/CharacterB/Normal,Avatars/AvatarB
角色B,Sad,Characters/CharacterB/Sad,Avatars/AvatarB
角色B,Serious,Characters/CharacterB/Serious,Avatars/AvatarB
角色B,Smile,Characters/CharacterB/Smile,Avatars/AvatarB

