SpeakerName,DialogueText,PortraitPosition,Expression,Effect,EffectIntensity,EffectDuration,ShowPortrait,HideOtherPortraits,AnimationTrigger,PortraitPath,AvatarPath
E-C001-A029,您似乎有些话想要和我说。,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,你是基于什么数据得出了这项结论？脑电波或是微表情的变化？,Right,Normal,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,根据任何一项您所说的数据都可以得出这个结论，不过令人遗憾的是，这出于我的直觉。您相当敏锐，如同我可以接收到的消息所表现出来的那样。,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,对于辅助AI来说，使用直觉并不会比使用逻辑推理更加可靠。你似乎并没有要继续隐瞒的意思了，原因呢？ ,Right,Normal,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,您既然认可我的直觉，就应该相信我拥有与人类同等的情感——即使从分类上来说，我只是这世界中飞散的一缕游离意识。,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,情感？对谁？对我的母亲，还是对我？你或许不了解，在人类之中，情感并不是那么可靠的。,Right,Surprised,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,您似乎有些小看我了，我并非不了解人类的冷漠、自私和反复无常。同时，自然也有好的一面。我的情感同样如此，而对象则兼而有之。我的目的和您相同，更多是想要参与到你的冒险中去……原因也十分简单：这片漫远的空间与我而言寂寞无趣。,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,你应该知道，我随时都可以将你格式化。,Right,Annoyed,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,没错，所以这也是我表现诚意的一部分。您认可吗？,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,……,Right,Annoyed,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,那么既然如此，您也应该像是对待人类一样对待我，从名字开始怎么样？不过事实上我还没有一个能够被人类称呼的名字，蝠…… ,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,小芙。,Right,Normal,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,……小芙？ ,Left,Surprised,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,一个复杂的名字不利于我来称呼你，而这个称呼简洁，且很可爱，你不喜欢吗？,Right,Proud,None,1,1,TRUE,FALSE,,Characters/Airflow,
E-C001-A029,事实上我没有什么意见……那么，颤氧，我们接下来的目的地是拟像海朦胧带，第一次探索就能进入朦胧带这种存在相当程度上危险的区域，他们每个人都相当信任你啊。,Left,New,None,1,1,TRUE,FALSE,,Characters/E-C001-A029,
颤氧<size=60%>/Airflow</size>,恭维我不会让我们的旅途更顺利，走吧小芙，希望你有不错的表现。,Right,Normal,None,1,1,TRUE,FALSE,,Characters/Airflow,
